regime,auroc_mean,auroc_std,auprc_mean,auprc_std,auprc_baseline
expr_rf,0.6458241758241758,0.09693482505998431,0.3501770154180611,0.12340276077553637,0.185
early_rf,0.636062271062271,0.09331737551257882,0.30345137282251766,0.08224990704833703,0.185
meth_rf,0.6266758241758242,0.0775961288544228,0.322713289477781,0.08572741476749902,0.185
late_lasso,0.6126190476190476,0.07796740941998899,0.3112540557556276,0.05927816441471914,0.185
expr_lasso,0.6045970695970696,0.0829912958078308,0.29926623138385844,0.06971851610265212,0.185
meth_lasso,0.5939010989010989,0.06659841835289762,0.28859979014848375,0.057863707733120905,0.185
early_lasso,0.5833882783882783,0.07782237705928503,0.28780000234008235,0.04265680351663496,0.185
